DATE,COUNTRY,NUMBER
2018-03-12,New Zealand,2
2018-03-12,Chile,2
2018-03-12,Pakistan,2
2018-03-12,Japan,2
2018-03-12,Iceland,2
2018-03-12,Philippines,2
2018-03-12,Serbia,2
2018-03-12,Mauritius,2
2018-03-12,Ireland,2
2018-03-12,Hungary,2
2018-03-12,Romania,2
2018-03-12,Turkey,2
2018-03-12,Ecuador,2
2018-03-12,Colombia,2
2018-03-12,Poland,1
2018-03-12,Christmas Island,1
2018-03-12,Côte D'ivoire,1
2018-03-12,Andorra,1
2018-03-12,South Africa,1
2018-03-12,Luxembourg,1
2018-03-12,Czech Republic,1
2018-03-12,Lithuania,1
2018-03-12,Slovenia,1
2018-03-12,Myanmar,1
2018-03-12,Thailand,1
2018-03-12,Sri Lanka,1
2018-03-12,El Salvador,1
2018-03-12,Morocco,1
2018-03-12,Croatia,1
2018-03-12,Kenya,1
2018-03-12,Russian Federation,1
2018-03-12,Kazakhstan,1
2018-03-12,Nigeria,1
2018-03-12,United Arab Emirates,1
2018-03-12,"Korea, Republic of",1
2018-03-12,Liberia,1
2018-03-12,Ghana,1
